"Submission ID","Respondent ID","Submitted at","In che lingua preferisci svolgere questo sondaggio? - 
"obJR1Vx","81dDx5x","2026-02-05 19:22:53","Italiano","Sì","Maschio","Dipendente","Lombardia","28","Attaccante","Meno di tre","Sintetico","Meno di 80€","recarti in negozio","4","5","4","5","4","5","2","5","3","No","","","","","","","","","","","","","","","","","","","","","","","","","","30","50","70","90","30","60","80","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GxMp4Bk","0QE0O56","2026-02-05 19:22:53","Italiano","Sì","Maschio","Dipendente","Lombardia","27","Portiere","Più di dieci","Sintetico","Tra gli 80€ e i 100€","recarti in negozio","2","3","5","4","2","4","3","2","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","20","30","150","200","15","30","150","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VLrPA4J","WOAbzXP","2026-02-05 19:23:21","Italiano","Sì","Maschio","Studente","Lombardia","24","Centrocampista","Più di dieci","Sintetico","Tra i 100€ e i 150€","recarti in negozio","4","5","4","3","2","4","1","1","4","No","","","","","","","","","","","","","","","","","","","","","","","","","","50","50","160","200","50","60","140","180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pdo9eJx","D4VOzLE","2026-02-05 19:24:59","Italiano","Sì","Maschio","Studente","Marche","23","Attaccante","Meno di tre","Alterno queste due superfici","Meno di 80€","recarti in negozio","1","5","5","5","1","1","1","1","1","No","","","","","","","","","","","","","","","","","","","","","","","","","","100","20","100","100","10","20","100","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pdo9W0P","yPlA994","2026-02-05 19:27:26","Italiano","Sì","Maschio","Dipendente","Emilia Romagna","27","Difensore","Tra le tre e le dieci","Naturale","Tra i 100€ e i 150€","recarti in negozio","5","5","5","5","3","5","2","2","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","110","40","110","110","110","40","110","110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7RQKgrz","xXdbavd","2026-02-05 19:30:01","Italiano","Sì","Femmina","Studente","Lombardia","23","Attaccante","Meno di tre","Naturale","Tra gli 80€ e i 100€","recarti in negozio","2","5","5","5","4","5","3","3","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","20","40","80","100","20","45","85","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J9ylZyz","lbN2d4N","2026-02-05 19:30:29","Italiano","Sì","Maschio","Dipendente","Lazio","30","Difensore","Meno di tre","Sintetico","Meno di 80€","recarti in negozio","4","4","5","5","2","5","5","1","4","No","","","","","","","","","","","","","","","","","","","","","","","","","","35","70","130","200","35","70","130","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"xXGDLGk","QKA95EG","2026-02-05 19:30:35","Italiano","Sì","Maschio","Dipendente","Lombardia","28","Attaccante","Tra le tre e le dieci","Sintetico","Meno di 80€","recarti in negozio","3","5","5","3","2","5","1","1","3","No","","","","","","","","","","","","","","","","","","","","","","","","","","40","50","80","100","40","50","80","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Me0alKk","VLZ75yg","2026-02-05 19:31:12","Italiano","Sì","Maschio","Studente","Lazio","22","Difensore","Meno di tre","Sintetico","Tra gli 80€ e i 100€","recarti in negozio","5","4","4","4","2","5","2","2","4","Sì","3","4","5","3","4","5","4","4","4","4","4","4","4","4","4","4","4","3","3","3","5","4","5","4","4","40","60","140","160","40","60","120","140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pbgoXDq","GxrEdEo","2026-02-05 19:31:56","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes ","Prefer not to say","Other","Lombardia","27","Defender","Between three and ten times ","Artificial turf ","Less than 80€","Physical on-site shop","3","4","5","5","1","2","2","1","4","No","","","","","","","","","","","","","","","","","","","","","","","","","","20","25","90","85","20","25","90","85"
"RGOo1vv","WOAb5xL","2026-02-05 19:33:24","Italiano","Sì","Maschio","Dipendente","Lombardia","29","Difensore","Meno di tre","Sintetico","Tra gli 80€ e i 100€","recarti in negozio","3","3","3","4","4","4","1","1","3","No","","","","","","","","","","","","","","","","","","","","","","","","","","20","45","80","110","20","40","90","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44Z7RqY","5Bd0zXN","2026-02-05 19:34:16","Italiano","Sì","Maschio","Dipendente","Lombardia","20","Centrocampista","Più di dieci","Sintetico","Meno di 80€","recarti in negozio","1","5","5","5","1","1","1","1","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","50","30","110","130","30","30","120","130","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"jaKoXqa","EkPVX5B","2026-02-05 19:34:32","Italiano","Sì","Maschio","Dipendente","Piemonte","27","Difensore","Meno di tre","Sintetico","Tra gli 80€ e i 100€","recarti in negozio","3","5","4","5","1","4","1","1","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","40","60","120","150","40","60","120","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VLrPXWv","dWYG69K","2026-02-05 19:35:03","Italiano","Sì","Maschio","Dipendente","Lombardia","25","Portiere","Più di dieci","Sintetico","Meno di 80€","recarti in negozio","3","5","4","2","2","2","4","1","4","No","","","","","","","","","","","","","","","","","","","","","","","","","","30","40","90","100","30","43","100","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pdo9NG0","2E4de5e","2026-02-05 19:38:50","Italiano","Sì","Maschio","Studente","Lazio","23","Centrocampista","Tra le tre e le dieci","Sintetico","Meno di 80€","recarti in negozio","4","3","4","4","3","4","1","1","4","Sì","4","4","3","4","4","5","3","4","3","4","2","3","3","3","3","3","3","2","4","3","5","3","3","4","4","40","70","120","150","30","70","110","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44Z7YRr","RGze0e9","2026-02-05 19:39:49","Italiano","Sì","Maschio","Studente","Lombardia","20","Attaccante","Più di dieci","Alterno queste due superfici","Tra gli 80€ e i 100€","recarti in negozio","3","5","5","3","1","5","2","2","4","No","","","","","","","","","","","","","","","","","","","","","","","","","","35","55","90","110","35","50","90","110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EkplV8X","xXdbdpd","2026-02-05 19:43:35","Italiano","Sì","Maschio","Dipendente","Lombardia","32","Difensore","Meno di tre","Sintetico","Tra i 100€ e i 150€","recarti in negozio","4","5","5","3","4","4","1","3","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","120","80","150","170","100","70","120","140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"819LDRx","5Bd0dkZ","2026-02-05 19:43:55","Italiano","Sì","Maschio","Studente","Lombardia","24","Attaccante","Più di dieci","Sintetico","Meno di 80€","recarti in negozio","2","5","5","4","2","1","4","1","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","40","80","200","300","40","80","150","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5BN90Yv","vGN6N0v","2026-02-05 19:45:00","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"xXGD89v","9qd0d8V","2026-02-05 19:48:37","Italiano","Sì","Maschio","Libero professionista","Lombardia","28","Attaccante","Meno di tre","Sintetico","Meno di 80€","recarti in negozio","3","2","4","4","3","4","2","1","4","Sì","1","3","5","4","3","5","4","2","3","4","3","4","3","3","3","2","2","2","3","3","5","3","3","4","4","40","60","170","200","50","70","180","210","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0Q48R66","KYM2oDg","2026-02-05 19:52:21","Italiano","Sì","Maschio","Studente","Liguria","23","Portiere","Tra le tre e le dieci","Sintetico","Meno di 80€","recarti in negozio","1","3","5","5","1","1","3","1","1","No","","","","","","","","","","","","","","","","","","","","","","","","","","20","45","90","130","20","55","90","140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5aeJao","4420jN5","2026-02-05 20:00:57","Italiano","Sì","Maschio","Libero professionista","Lombardia","26","Centrocampista","Più di dieci","Naturale","Tra gli 80€ e i 100€","andare online","3","4","5","5","2","5","1","2","3","No","","","","","","","","","","","","","","","","","","","","","","","","","","80","70","120","140","50","120","120","140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1Aj4L6p","LZdxXv2","2026-02-05 20:08:59","Italiano","Sì","Maschio","Studente","Lombardia","23","Difensore","Tra le tre e le dieci","Sintetico","Meno di 80€","recarti in negozio","1","4","5","5","1","3","1","1","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","30","50","110","120","30","50","110","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y52GLq5","GxrEBxZ","2026-02-05 20:28:53","Italiano","Sì","Maschio","Dipendente","Lombardia","24","Portiere","Meno di tre","Sintetico","Meno di 80€","recarti in negozio","4","4","5","4","4","5","1","1","4","No","","","","","","","","","","","","","","","","","","","","","","","","","","15","20","90","110","15","25","50","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2E2AMdb","KYM2Bx7","2026-02-05 20:29:52","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RGODG2P","NpAN4eW","2026-02-05 20:43:48","Italiano","Sì","Maschio","Dipendente","Lazio","23","Portiere","Più di dieci","Alterno queste due superfici","Tra gli 80€ e i 100€","recarti in negozio","2","4","5","5","1","4","2","3","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","40","60","140","200","50","70","100","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rjXo5M5","2E4d1b9","2026-02-05 20:55:32","Italiano","Sì","Maschio","Studente","Lazio","25","Portiere","Meno di tre","Sintetico","Meno di 80€","recarti in negozio","3","4","5","3","4","1","1","1","2","No","","","","","","","","","","","","","","","","","","","","","","","","","","5","15","80","100","5","15","60","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eqbarro","GxrEQve","2026-02-05 21:08:37","Italiano","Sì","Femmina","Studente","Lombardia","23","Difensore","Meno di tre","Alterno queste due superfici","Meno di 80€","recarti in negozio","3","3","4","4","1","5","3","3","4","No","","","","","","","","","","","","","","","","","","","","","","","","","","40","55","150","200","20","40","80","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Npz7XPQ","gD5PkAd","2026-02-05 21:10:53","Italiano","Sì","Maschio","Dipendente","Lombardia","27","Difensore","Meno di tre","Sintetico","Meno di 80€","recarti in negozio","2","4","5","4","2","4","2","1","3","No","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","200","200","20","20","200","200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VLrzzNy","pbLqk8Z","2026-02-05 21:16:17","Italiano","Sì","Maschio","Altro","Sicilia","32","Attaccante","Più di dieci","Sintetico","Meno di 80€","recarti in negozio","4","5","5","3","2","3","4","2","3","No","","","","","","","","","","","","","","","","","","","","","","","","","","80","25","70","80","100","35","85","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Xxj40QP","ZjdkDWA","2026-02-05 21:21:59","Italiano","Sì","Maschio","Studente","Liguria","23","Attaccante","Meno di tre","Alterno queste due superfici","Tra i 100€ e i 150€","recarti in negozio","2","4","5","3","2","4","2","2","4","No","","","","","","","","","","","","","","","","","","","","","","","","","","50","70","160","185","60","85","160","190","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"kdLNEL6","obANvLx","2026-02-05 21:23:43","Italiano","Sì","Maschio","Dipendente","Sicilia","32","Difensore","Tra le tre e le dieci","Alterno queste due superfici","Meno di 80€","andare online","3","4","4","4","3","4","3","3","4","No","","","","","","","","","","","","","","","","","","","","","","","","","","20","40","70","100","25","50","80","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"kdLNykM","eqBOzJx","2026-02-05 21:33:00","Italiano","Sì","Maschio","Studente","Lombardia","24","Attaccante","Meno di tre","Alterno queste due superfici","Tra gli 80€ e i 100€","recarti in negozio","4","4","5","5","2","5","5","1","2","No","","","","","","","","","","","","","","","","","","","","","","","","","","50","79","100","120","50","79","100","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y524Mr6","kdYjxpJ","2026-02-05 22:06:56","Italiano","Sì","Maschio","Libero professionista","Lombardia","23","Attaccante","Più di dieci","Sintetico","Meno di 80€","recarti in negozio","3","3","4","5","2","4","1","1","1","No","","","","","","","","","","","","","","","","","","","","","","","","","","100","60","150","180","100","60","150","180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rjXodX5","gD5PryO","2026-02-05 22:10:08","Italiano","Sì","Maschio","Studente","Lombardia","24","Difensore","Più di dieci","Sintetico","Tra gli 80€ e i 100€","recarti in negozio","3","5","5","4","2","4","5","2","4","No","","","","","","","","","","","","","","","","","","","","","","","","","","30","50","100","120","30","60","110","130","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"819ZERk","ZjdkbZV","2026-02-05 23:01:40","Italiano","Sì","Maschio","Altro","Lombardia","23","Portiere","Più di dieci","Sintetico","Più di 150€","recarti in negozio","4","4","5","3","3","5","3","5","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","70","120","250","300","70","120","250","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D4L7PGq","68d0l7o","2026-02-05 23:31:36","Italiano","Sì","Maschio","Libero professionista","Lombardia","28","Difensore","Più di dieci","Naturale","Meno di 80€","recarti in negozio","2","3","4","4","4","2","4","4","3","No","","","","","","","","","","","","","","","","","","","","","","","","","","20","30","100","150","20","40","120","170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y524v1d","pbLqEAP","2026-02-05 23:31:55","Italiano","Sì","Preferisco non specificarlo","Dipendente","Lombardia","31","Portiere","Meno di tre","Sintetico","Meno di 80€","recarti in negozio","1","5","3","1","5","1","5","1","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","25","25","100","150","25","25","100","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zjx2bDv","vGN6kj8","2026-02-06 00:02:33","Italiano","Sì","Maschio","Altro","Lombardia","23","Difensore","Meno di tre","Sintetico","Tra gli 80€ e i 100€","recarti in negozio","4","4","5","5","3","5","4","3","3","Sì","2","4","5","5","5","5","5","3","5","5","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","30","40","100","110","40","50","120","130","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"aQWYYKq","VLZW7EN","2026-02-06 07:12:34","Italiano","Sì","Maschio","Dipendente","Fuori dall'Italia","26","Centrocampista","Più di dieci","Sintetico","Più di 150€","recarti in negozio","4","3","5","3","1","3","2","1","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","40","100","300","350","40","100","300","350","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68q2dJJ","pbLYq8b","2026-02-06 07:22:12","Italiano","Sì","Maschio","Dipendente","Lombardia","30","Portiere","Più di dieci","Alterno queste due superfici","Meno di 80€","recarti in negozio","5","5","5","5","1","3","1","1","3","No","","","","","","","","","","","","","","","","","","","","","","","","","","30","40","100","120","30","40","100","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vGRy2g8","xXd850v","2026-02-06 07:37:49","Italiano","Sì","Maschio","Studente","Lombardia","24","Difensore","Meno di tre","Sintetico","Meno di 80€","recarti in negozio","3","4","5","4","5","4","3","2","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","20","30","50","60","15","25","45","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GxMdByO","vGN8Z50","2026-02-06 08:02:21","Italiano","Sì","Maschio","Studente","Lombardia","20","Centrocampista","Tra le tre e le dieci","Sintetico","Più di 150€","recarti in negozio","4","4","5","4","5","5","5","5","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","100","130","400","600","130","90","200","350","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5axzeL","QKANPQ8","2026-02-06 08:37:38","Italiano","Sì","Maschio","Studente","Veneto","23","Centrocampista","Meno di tre","Sintetico","Meno di 80€","recarti in negozio","3","3","4","5","1","4","1","1","3","No","","","","","","","","","","","","","","","","","","","","","","","","","","15","40","70","90","20","30","60","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"obJMpxe","5BdPKBE","2026-02-06 08:54:52","Italiano","Sì","Maschio","Studente","Lombardia","22","Centrocampista","Tra le tre e le dieci","Sintetico","Tra gli 80€ e i 100€","recarti in negozio","3","5","5","4","1","5","3","3","3","No","","","","","","","","","","","","","","","","","","","","","","","","","","80","50","75","100","100","70","80","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"aQWY1rW","vGN5X7Q","2026-02-06 09:17:39","Italiano","Sì","Maschio","Studente","Fuori dall'Italia","26","Difensore","Più di dieci","Alterno queste due superfici","Tra i 100€ e i 150€","recarti in negozio","4","4","5","5","2","5","1","1","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","40","90","180","250","40","80","180","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"kdL6LzM","Y5ZreQW","2026-02-06 09:54:09","Italiano","Sì","Maschio","Studente","Lombardia","24","Attaccante","Meno di tre","Sintetico","Meno di 80€","recarti in negozio","3","4","3","4","4","2","1","1","2","Sì","2","3","5","4","4","5","4","1","4","4","3","3","3","3","2","2","3","2","2","2","5","4","1","4","4","70","100","170","200","50","90","150","180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WO4Nrlk","2E4GrB9","2026-02-06 10:37:13","Italiano","Sì","Femmina","Libero professionista","Lombardia","26","Attaccante","Tra le tre e le dieci","Sintetico","Tra i 100€ e i 150€","recarti in negozio","3","5","5","4","3","5","3","2","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","50","90","170","200","40","70","140","190","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vGRApvg","kdYBxNj","2026-02-06 12:24:29","Italiano","Sì","Maschio","Studente","Liguria","24","Difensore","Tra le tre e le dieci","Sintetico","Meno di 80€","recarti in negozio","3","2","4","2","1","2","2","3","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","70","45","60","80","100","60","130","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vGRA5YD","QKAlql1","2026-02-06 12:57:25","Italiano","Sì","Maschio","Studente","Molise","23","Difensore","Meno di tre","Sintetico","Meno di 80€","recarti in negozio","4","2","3","5","3","3","3","3","3","No","","","","","","","","","","","","","","","","","","","","","","","","","","15","60","100","150","15","60","100","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44ZL6rO","XxepeAY","2026-02-07 08:31:46","Italiano","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lbpWVDX","BzGrlKY","2026-02-07 11:41:34","Italiano","Sì","Maschio","Studente","Liguria","21","Difensore","Meno di tre","Sintetico","Tra gli 80€ e i 100€","recarti in negozio","3","2","4","4","2","4","1","3","4","No","","","","","","","","","","","","","","","","","","","","","","","","","","55","60","110","140","60","50","95","130","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vGRqb0D","q4b0kN2","2026-02-08 13:18:19","Italiano","Sì","Maschio","Studente","Lombardia","15","Attaccante","Più di dieci","Sintetico","Più di 150€","recarti in negozio","4","4","5","3","3","5","1","3","5","No","","","","","","","","","","","","","","","","","","","","","","","","","","120","60","140","190","90","45","100","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pdovd0x","RGzEqMQ","2026-02-08 15:02:46","Italiano","Sì","Maschio","Studente","Liguria","23","Difensore","Meno di tre","Sintetico","Meno di 80€","recarti in negozio","2","4","5","4","3","4","1","2","3","Sì","1","4","5","4","4","5","5","2","4","4","2","3","4","2","3","1","3","3","2","3","5","4","2","4","4","30","40","100","130","40","60","120","140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"xXG4kPd","LZdQv7O","2026-02-08 19:44:20","Italiano","Sì","Maschio","Studente","Lombardia","17","Portiere","Più di dieci","Sintetico","Tra i 100€ e i 150€","recarti in negozio","2","5","4","3","3","4","5","4","4","No","","","","","","","","","","","","","","","","","","","","","","","","","","40","60","115","130","40","60","120","140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gDBYyBJ","LZdQv7O","2026-02-08 19:48:17","Italiano","Sì","Maschio","Studente","Lombardia","14","Difensore","Più di dieci","Alterno queste due superfici","Tra gli 80€ e i 100€","recarti in negozio","3","4","3","5","4","4","5","4","3","No","","","","","","","","","","","","","","","","","","","","","","","","","","40","60","110","120","35","50","110","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GxMqev2","NpAeR50","2026-02-08 20:03:20","Italiano","Sì","Femmina","Dipendente","Lombardia","23","Centrocampista","Tra le tre e le dieci","Alterno queste due superfici","Tra i 100€ e i 150€","recarti in negozio","2","4","5","3","1","4","1","4","2","Sì","1","2","5","4","4","5","4","1","3","5","4","3","3","4","4","3","2","2","3","4","5","4","2","4","4","40","85","130","150","40","95","140","160","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68qWLWJ","ODAWkak","2026-02-08 20:13:55","Italiano","Sì","Maschio","Studente","Puglia","23","Difensore","Meno di tre","Sintetico","Meno di 80€","recarti in negozio","2","5","5","5","4","4","3","2","5","Sì","1","2","5","3","2","5","5","2","4","5","1","3","1","3","3","2","2","2","2","1","5","5","4","5","5","20","50","120","150","40","80","140","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QKGkzoY","RGzXElK","2026-02-09 08:30:25","Italiano","Sì","Maschio","Studente","Calabria","26","Centrocampista","Tra le tre e le dieci","Naturale","Meno di 80€","recarti in negozio","4","4","4","5","5","5","2","2","4","Sì","1","4","5","2","2","5","4","1","3","5","4","2","2","3","1","4","4","2","2","4","4","4","4","2","4","60","20","90","120","15","30","60","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VLrDx5J","RGzEqMQ","2026-02-09 08:49:18","Italiano","Sì","Maschio","Dipendente","Lombardia","28","Centrocampista","Tra le tre e le dieci","Alterno queste due superfici","Tra gli 80€ e i 100€","recarti in negozio","1","5","5","4","2","5","1","2","3","Sì","2","5","5","4","3","5","4","1","3","5","2","2","3","2","3","1","4","2","3","3","5","4","2","3","4","60","70","130","150","60","70","130","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""